[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-22.02128,-62.71347,30.49032,-14.82925,-22.0684,-15,-99.75436,-13.16168,-6.580839,-69.30074,-69.30074,-69.30074,15,-2.299354,-2.299354,-2.299354,25,-42.71535,-42.71535,-42.71535,1
-21.97512,-62.77623,30.58265,-14.89204,-22.5912,-15,-100.0624,-13.10861,-6.554303,-69.26357,-69.26357,-69.26357,15,-2.223442,-2.223442,-2.223442,25,-42.31953,-42.31953,-42.31953,1
-21.97808,-62.76472,30.57672,-14.88052,-22.98741,-15,-100.0922,-13.06954,-6.53477,-69.26839,-69.26839,-69.26839,15,-2.086653,-2.086653,-2.086653,25,-42.13787,-42.13787,-42.13787,1
-21.94447,-62.66247,30.64394,-14.77827,-22.64738,-15,-100.105,-12.89616,-6.448078,-69.24153,-69.24153,-69.24153,15,-1.978257,-1.978257,-1.978257,25,-42.11225,-42.11225,-42.11225,1
-21.93611,-62.62489,30.66068,-14.7407,-22.60887,-15,-100.0908,-12.91055,-6.455276,-69.22888,-69.22888,-69.22888,15,-1.871688,-1.871688,-1.871688,25,-42.09586,-42.09586,-42.09586,1
-21.93846,-62.5583,30.65598,-14.6741,-22.59117,-15,-100.0389,-12.92796,-6.463981,-69.17762,-69.17762,-69.17762,15,-1.762207,-1.762207,-1.762207,25,-42.1034,-42.1034,-42.1034,1
-21.95576,-62.46811,30.62137,-14.58392,-22.60903,-15,-99.9832,-12.86009,-6.430047,-69.11103,-69.11103,-69.11103,15,-1.657015,-1.657015,-1.657015,25,-42.15541,-42.15541,-42.15541,1
-21.97232,-62.36148,30.58826,-14.47729,-22.48015,-15,-99.91368,-12.84992,-6.424961,-69.05137,-69.05137,-69.05137,15,-1.577021,-1.577021,-1.577021,25,-42.14099,-42.14099,-42.14099,1
-21.99262,-62.25316,30.54766,-14.36896,-22.46595,-15,-99.90514,-12.71751,-6.358756,-68.97392,-68.97392,-68.97392,15,-1.509767,-1.509767,-1.509767,25,-42.14162,-42.14162,-42.14162,1
-21.99927,-62.15412,30.53437,-14.26992,-22.45457,-15,-99.83588,-12.68842,-6.344209,-68.89223,-68.89223,-68.89223,15,-1.44057,-1.44057,-1.44057,25,-42.257,-42.257,-42.257,1
